"Source:","C:\Users\User\Desktop\Misc\Speaker\Discrete_Channel\Discrete_Channel.sch"
"Date:","11/7/2021 2:22:24 PM"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Note","Notes","Part"
"","","C1","680 uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1255.pdf","https://www.digikey.com/en/products/detail/EEU-FS1H681B/P122333CT-ND/7381332","","EEU-FS1H681B"
"","","C2","680 uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1255.pdf","https://www.digikey.com/en/products/detail/EEU-FS1H681B/P122333CT-ND/7381332","","EEU-FS1H681B"
"","","C3","1 uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","https://www.digikey.com/en/products/detail/C0805C105M5PAC7800/399-C0805C105M5PAC7800CT-ND/12701548","","C0805C105M5PAC7800"
"","","C4","1 uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","https://www.digikey.com/en/products/detail/C0805C105M5PAC7800/399-C0805C105M5PAC7800CT-ND/12701548","","C0805C105M5PAC7800"
"","","C5","1 uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","https://www.digikey.com/en/products/detail/C0805C105M5PAC7800/399-C0805C105M5PAC7800CT-ND/12701548","","C0805C105M5PAC7800"
"","","C6","100 nF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/charasheet/c3216c0g1h104j160aa.pdf","https://www.digikey.com/en/products/detail/C3216C0G1H104J160AA/445-7694-1-ND/2733766","","C3216C0G1H104J160AA"
"","","C7","1 uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","https://www.digikey.com/en/products/detail/C0805C105M5PAC7800/399-C0805C105M5PAC7800CT-ND/12701548","","C0805C105M5PAC7800"
"","","C8","100 nF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/charasheet/c3216c0g1h104j160aa.pdf","https://www.digikey.com/en/products/detail/C3216C0G1H104J160AA/445-7694-1-ND/2733766","","C3216C0G1H104J160AA"
"","","C9","33 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012c0g1h333j125aa.pdf","https://www.digikey.com/en/products/detail/C2012C0G1H333J125AA/445-7523-1-ND/2733595","","C2012C0G1H333J125AA"
"","","C10","1 uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","https://www.digikey.com/en/products/detail/C0805C105M5PAC7800/399-C0805C105M5PAC7800CT-ND/12701548","","C0805C105M5PAC7800"
