Item,Qty,Reference(s),Value,Note,Part,,Unit Cost,Total
1,5,"C1, C10, C11, C18, C19",2.2 uF,https://www.digikey.com/en/products/detail/wima/SMDID04220YA00KT00/9449109,SMDID04220YA00KT00,,3.667,18.335
2,2,"C2, C3",1.5 nF,https://www.digikey.com/en/products/detail/kyocera-avx/1206GC152MAZ2A/6138441,1206GC152MAZ2A,,0.578,1.156
3,2,"C4, C5",470 uF,https://www.digikey.com/en/products/detail/kemet/ESC477M035AH4AA/2712516,ESC477M035AH4AA,,0.6,1.2
4,4,"C6, C7, C14, C15",10 uF,https://www.digikey.com/en/products/detail/kyocera-avx/TCJD106M050R0120/2578345,TCJD106M050R0120,,1.619,6.476
5,4,"C8, C9, C16, C17",220 nF,https://www.digikey.com/en/products/detail/wima/SMDID03220QB00MP00/9449106,SMDID03220QB00MP00,,1.579,6.316
6,2,"C12, C13",4.7 uF,https://www.digikey.com/en/products/detail/tdk-corporation/C3216X7R1H475K160AC/2792268,C3216X7R1H475K160AC,,0.511,1.022
7,4,"H1, H2, H3, H4",MountingHole,,,,0,0
8,1,J1,PWR_In,,,,0,0
9,1,J2,PWR_Out,,,,0,0
10,1,L1,10 uH,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74477110/1638613,74477110,,2.19,2.19
11,4,"L2, L3, L4, L5",1.3 uH,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/7443551130/1638529,7443551130,,3.315,13.26
12,4,"R1, R2, R7, R8",2.4,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/35022R4FT/9926558,35022R4FT,,0.824,3.296
13,2,"R3, R4",140k,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/RQ73C2B140KBTD/9479866,RQ73C2B140KBTD,,,0
14,2,"R5, R6",300,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF1206FT300R/1758983,RMCF1206FT300R,,0.00655,0.0131
15,2,"R9, R10",220k,,,[1],0,0
16,2,"R11, R12",24k,,,[1],0,0
17,1,U1,DKMW20F-15,,,,34.79,34.79
18,1,U2,LT3045xMSE,,,[2],11.06,11.06
19,1,U3,LT3094xMSE,,,[2],7.55,7.55
20,1,U4,LM317_TO-220,,,[1],0,0
21,1,U5,LM337_TO220,,,[1],0,0
22,1,BOARD,BOARD,,,,0,0
Sub-Total,,,,,,,,106.6641
[1] These are optional bypasses to ease component shortage,,,,,,,,
[2] High demand part not easily purchased during shortage,,,,,,,,
